B	N	time
1000	15	72.140000
1000	20	1607.360000
1000	23	6925.000000
1000	25	27926.180000
1000	27	111819.100000
2500	15	27.900000
2500	20	874.230000
2500	23	6963.540000
2500	25	27749.450000
2500	27	111224.080000
5000	15	26.800000
5000	20	862.200000
5000	23	7150.260000
5000	25	28268.100000
5000	27	114516.670000
